code,name,provinceCode
1101,"北京",11
1201,"天津",12
1301,"石家庄",13
1302,"唐山",13
1303,"秦皇岛",13
1304,"邯郸",13
1305,"邢台",13
1306,"保定",13
1307,"张家口",13
1308,"承德",13
1309,"沧州",13
1310,"廊坊",13
1311,"衡水",13
1401,"太原",14
1402,"大同",14
1403,"阳泉",14
1404,"长治",14
1405,"晋城",14
1406,"朔州",14
1407,"晋中",14
1408,"运城",14
1409,"忻州",14
1410,"临汾",14
1411,"吕梁",14
1501,"呼和浩特",15
1502,"包头",15
1503,"乌海",15
1504,"赤峰",15
1505,"通辽",15
1506,"鄂尔多斯",15
1507,"呼伦贝尔",15
1508,"巴彦淖尔",15
1509,"乌兰察布",15
1522,"兴安盟",15
1525,"锡林郭勒盟",15
1529,"阿拉善盟",15
2101,"沈阳",21
2102,"大连",21
2103,"鞍山",21
2104,"抚顺",21
2105,"本溪",21
2106,"丹东",21
2107,"锦州",21
2108,"营口",21
2109,"阜新",21
2110,"辽阳",21
2111,"盘锦",21
2112,"铁岭",21
2113,"朝阳",21
2114,"葫芦岛",21
2201,"长春",22
2202,"吉林",22
2203,"四平",22
2204,"辽源",22
2205,"通化",22
2206,"白山",22
2207,"松原",22
2208,"白城",22
2224,"延边朝鲜族自治州",22
2301,"哈尔滨",23
2302,"齐齐哈尔",23
2303,"鸡西",23
2304,"鹤岗",23
2305,"双鸭山",23
2306,"大庆",23
2307,"伊春",23
2308,"佳木斯",23
2309,"七台河",23
2310,"牡丹江",23
2311,"黑河",23
2312,"绥化",23
2327,"大兴安岭地区",23
3101,"上海",31
3201,"南京",32
3202,"无锡",32
3203,"徐州",32
3204,"常州",32
3205,"苏州",32
3206,"南通",32
3207,"连云港",32
3208,"淮安",32
3209,"盐城",32
3210,"扬州",32
3211,"镇江",32
3212,"泰州",32
3213,"宿迁",32
3301,"杭州",33
3302,"宁波",33
3303,"温州",33
3304,"嘉兴",33
3305,"湖州",33
3306,"绍兴",33
3307,"金华",33
3308,"衢州",33
3309,"舟山",33
3310,"台州",33
3311,"丽水",33
3401,"合肥",34
3402,"芜湖",34
3403,"蚌埠",34
3404,"淮南",34
3405,"马鞍山",34
3406,"淮北",34
3407,"铜陵",34
3408,"安庆",34
3410,"黄山",34
3411,"滁州",34
3412,"阜阳",34
3413,"宿州",34
3415,"六安",34
3416,"亳州",34
3417,"池州",34
3418,"宣城",34
3501,"福州",35
3502,"厦门",35
3503,"莆田",35
3504,"三明",35
3505,"泉州",35
3506,"漳州",35
3507,"南平",35
3508,"龙岩",35
3509,"宁德",35
3601,"南昌",36
3602,"景德镇",36
3603,"萍乡",36
3604,"九江",36
3605,"新余",36
3606,"鹰潭",36
3607,"赣州",36
3608,"吉安",36
3609,"宜春",36
3610,"抚州",36
3611,"上饶",36
3701,"济南",37
3702,"青岛",37
3703,"淄博",37
3704,"枣庄",37
3705,"东营",37
3706,"烟台",37
3707,"潍坊",37
3708,"济宁",37
3709,"泰安",37
3710,"威海",37
3711,"日照",37
3712,"莱芜",37
3713,"临沂",37
3714,"德州",37
3715,"聊城",37
3716,"滨州",37
3717,"菏泽",37
4101,"郑州",41
4102,"开封",41
4103,"洛阳",41
4104,"平顶山",41
4105,"安阳",41
4106,"鹤壁",41
4107,"新乡",41
4108,"焦作",41
4109,"濮阳",41
4110,"许昌",41
4111,"漯河",41
4112,"三门峡",41
4113,"南阳",41
4114,"商丘",41
4115,"信阳",41
4116,"周口",41
4117,"驻马店",41
4190,"直辖县级行政区划",41
4201,"武汉",42
4202,"黄石",42
4203,"十堰",42
4205,"宜昌",42
4206,"襄阳",42
4207,"鄂州",42
4208,"荆门",42
4209,"孝感",42
4210,"荆州",42
4211,"黄冈",42
4212,"咸宁",42
4213,"随州",42
4228,"恩施土家族苗族自治州",42
4290,"直辖县级行政区划",42
4301,"长沙",43
4302,"株洲",43
4303,"湘潭",43
4304,"衡阳",43
4305,"邵阳",43
4306,"岳阳",43
4307,"常德",43
4308,"张家界",43
4309,"益阳",43
4310,"郴州",43
4311,"永州",43
4312,"怀化",43
4313,"娄底",43
4331,"湘西土家族苗族自治州",43
4401,"广州",44
4402,"韶关",44
4403,"深圳",44
4404,"珠海",44
4405,"汕头",44
4406,"佛山",44
4407,"江门",44
4408,"湛江",44
4409,"茂名",44
4412,"肇庆",44
4413,"惠州",44
4414,"梅州",44
4415,"汕尾",44
4416,"河源",44
4417,"阳江",44
4418,"清远",44
4419,"东莞",44
4420,"中山",44
4451,"潮州",44
4452,"揭阳",44
4453,"云浮",44
4501,"南宁",45
4502,"柳州",45
4503,"桂林",45
4504,"梧州",45
4505,"北海",45
4506,"防城港",45
4507,"钦州",45
4508,"贵港",45
4509,"玉林",45
4510,"百色",45
4511,"贺州",45
4512,"河池",45
4513,"来宾",45
4514,"崇左",45
4601,"海口",46
4602,"三亚",46
4603,"三沙",46
4604,"儋州",46
4690,"直辖县级行政区划",46
5001,"重庆",50
5002,"县",50
5101,"成都",51
5103,"自贡",51
5104,"攀枝花",51
5105,"泸州",51
5106,"德阳",51
5107,"绵阳",51
5108,"广元",51
5109,"遂宁",51
5110,"内江",51
5111,"乐山",51
5113,"南充",51
5114,"眉山",51
5115,"宜宾",51
5116,"广安",51
5117,"达州",51
5118,"雅安",51
5119,"巴中",51
5120,"资阳",51
5132,"阿坝藏族羌族自治州",51
5133,"甘孜藏族自治州",51
5134,"凉山彝族自治州",51
5201,"贵阳",52
5202,"六盘水",52
5203,"遵义",52
5204,"安顺",52
5205,"毕节",52
5206,"铜仁",52
5223,"黔西南布依族苗族自治州",52
5226,"黔东南苗族侗族自治州",52
5227,"黔南布依族苗族自治州",52
